ParentLocation,Location,Value,Latitude,Longitude,LifeExpect,GDP,MedianAge
Western Pacific,Papua New Guinea,0.0,0.33637341754413497,0.9014863649273159,0.40180936693986263,0.0014731095260532184,0.27218934911242604
Africa,Angola,0.07936507936507936,0.27818669964395826,0.5439983578971772,0.28564617244329243,0.0036825824422027156,0.032544378698224845
Africa,Central African Republic,0.15873015873015872,0.45577102691036836,0.5508529470129353,0.04291897962791312,0.0001378362190976462,0.15384615384615383
Eastern Mediterranean,Somalia,0.1746031746031746,0.46831107024439517,0.6329311066639184,0.08630787509116815,0.0004246698581842572,0.10946745562130177
Africa,Guinea,0.19047619047619047,0.49042650199928317,0.4641998245337083,0.199463608241549,0.0008996198551688668,0.12721893491124264
Africa,Guinea-Bissau,0.23809523809523808,0.5006871015155392,0.4514254319074526,0.22327267723221597,8.856802960992104e-05,0.09467455621301774
Americas,Haiti,0.23809523809523808,0.5694745433619238,0.2902282249114102,0.3341728143729546,0.00116816525375237,0.27514792899408286
Africa,Liberia,0.25396825396825395,0.44372804856430564,0.46798835247761766,0.25757653321219015,0.00019353078101287183,0.09467455621301774
Africa,Equatorial Guinea,0.30158730158730157,0.4048791154169508,0.5240974948872089,0.25278339169170067,0.0006851232157974472,0.1627218934911243
Africa,Madagascar,0.30158730158730157,0.2120043055901183,0.6254760698698357,0.3746795593794447,0.0008133670048499523,0.1627218934911243
Africa,Chad,0.3333333333333333,0.5363562089922747,0.5480803346670605,0.0,0.0006576596927086275,0.038461538461538484
Americas,Paraguay,0.3492063492063492,0.17076222074545525,0.3302658005750968,0.5556598114308705,0.0022384802959833335,0.4408284023668639
Africa,Cameroon,0.36507936507936506,0.43304647135791097,0.5315377772332104,0.24460685615674782,0.002540795261964231,0.10946745562130177
Eastern Mediterranean,Djibouti,0.36507936507936506,0.5006812940847527,0.615327275923364,0.3063851246430576,0.0001858591107563315,0.29881656804733725
Americas,Ecuador,0.36507936507936506,0.3771478933959907,0.2704472653556467,0.6624246892205985,0.005954163017433351,0.4142011834319527
Africa,Gabon,0.36507936507936506,0.3812780557178508,0.5274074935017905,0.41653339644724885,0.001131158982399541,0.1834319526627219
Africa,Nigeria,0.4126984126984127,0.4798842242468703,0.5169943879705433,0.004730486075777375,0.02473417090095195,0.11242603550295861
Africa,Ethiopia,0.4444444444444444,0.4856281179465753,0.6034941831644668,0.3900301433339535,0.006240126779055051,0.14792899408284024
Eastern Mediterranean,Lebanon,0.4444444444444444,0.7689004187259021,0.2786425386571051,0.7055629629050043,0.0012946787758563727,0.5591715976331362
Africa,Lesotho,0.4603174603174603,0.11171750471918548,0.5743795149959557,0.01682298690524761,0.0001298071163046372,0.29289940828402367
Africa,Mozambique,0.49206349206349204,0.20846131640489546,0.5929466813286189,0.21302851202175796,0.0008819401331490003,0.06508875739644969
Western Pacific,Vanuatu,0.5079365079365079,0.2345377145918456,0.9688132201845646,0.5615180955114687,5.114574842895727e-05,0.24260355029585798
Europe,Ukraine,0.5238095238095238,0.8544668992090675,0.5826671463901851,0.5364184772390137,0.011206558639056396,0.7810650887573966
Africa,Mauritania,0.5555555555555556,0.5799365867249276,0.46834371360234195,0.3708889049743518,0.0005575644687604321,0.1834319526627219
Africa,Mali,0.5714285714285714,0.5434616925919306,0.48795620961062364,0.20099866663699986,0.0010801791286467297,0.03550295857988164
Americas,Grenada,0.5873015873015873,0.5036999635510467,0.3203294343903112,0.702085585723473,5.962836186418692e-05,0.5473372781065088
Eastern Mediterranean,Libya,0.5873015873015873,0.6416302931862651,0.5455632826591278,0.6073192255961467,0.0022299240654031593,0.3254437869822486
Western Pacific,Philippines,0.5873015873015873,0.5094689961761599,0.8407638192218669,0.5244573999641543,0.022110947203045836,0.27514792899408286
Americas,El Salvador,0.6031746031746031,0.5193266929732263,0.2435047587505064,0.5708850844959551,0.0016492883428835363,0.3816568047337278
Africa,Benin,0.6190476190476191,0.4792203825058653,0.5007918928531048,0.2285670623104037,0.0009893070736444818,0.06508875739644969
Europe,Bosnia and Herzegovina,0.6190476190476191,0.805803848473192,0.5440746151744927,0.713488876661108,0.0013237254502204065,0.8431952662721893
Americas,Brazil,0.6190476190476191,0.29268878121534897,0.3442891988274271,0.6336031846529488,0.09256560566461897,0.5443786982248522
Africa,Togo,0.6190476190476191,0.47218346772232783,0.49729696950854835,0.284894307106745,0.00046428995077344527,0.15384615384615383
Eastern Mediterranean,Afghanistan,0.6349206349206349,0.7068470581886497,0.6813424755898232,0.29626627032202413,0.0008149596210991996,0.1390532544378698
Americas,Guatemala,0.6349206349206349,0.5360945816058466,0.23946455407959705,0.5235488960158259,0.004825519703652767,0.2485207100591716
Eastern Mediterranean,Jordan,0.6349206349206349,0.6936581603044202,0.5947717817792567,0.680782734521297,0.0025283394333513623,0.257396449704142
Western Pacific,Samoa,0.6349206349206349,0.26042057526448514,0.008699017599896223,0.6341357559330032,4.3975032020827584e-05,0.31952662721893493
Africa,Algeria,0.6507936507936508,0.6526796251959299,0.502884509812909,0.7472288336386717,0.009169908567569357,0.41715976331360943
Americas,Honduras,0.6666666666666666,0.533011390869794,0.25151510506440466,0.551305258023367,0.001595276280633324,0.2840236686390532
Americas,Suriname,0.6666666666666666,0.42862093769699977,0.33617002307913135,0.5560357440991441,0.00016410985976865496,0.47928994082840237
Europe,Montenegro,0.6984126984126984,0.2704649766414503,0.3862631366420049,0.6672613837938164,0.00032553821471944014,0.7337278106508877
Americas,Argentina,0.7142857142857143,0.061075566308176024,0.31108214755004865,0.7163083716731607,0.027337529769263468,0.5207100591715976
Americas,Peru,0.7301587301587301,0.3252134325663732,0.28264061001540824,0.6219179442141082,0.012550633210948651,0.42307692307692313
Western Pacific,Cambodia,0.746031746031746,0.427494128963572,0.2880491890011025,0.534419615673407,0.0015095511155513407,0.3431952662721893
Americas,Mexico,0.746031746031746,0.5722226902308567,0.2146666188068879,0.5541247530354193,0.0714224686740727,0.4289940828402367
Europe,Austria,0.7619047619047619,0.836687494933289,0.5342778617271129,0.8995449838173768,0.026952634667033633,0.878698224852071
Americas,Belize,0.7619047619047619,0.5477434838889229,0.24393927504535,0.5621759776809477,0.00013643342476285638,0.2692307692307692
Africa,Niger,0.7619047619047619,0.5562859863731303,0.5207303277247807,0.28354721504543096,0.0008335824421214025,0.0
Africa,Zambia,0.7619047619047619,0.253381764426168,0.5721895701517586,0.2724885290537132,0.0012394448984186608,0.06213017751479284
Europe,Estonia,0.7777777777777778,0.9414767591409363,0.5659047898967695,0.758646642156124,0.0020836169137430503,0.8550295857988167
Europe,Georgia,0.7777777777777778,0.6933368405306891,0.2598731875090109,0.6005211098448643,0.0010420152055621074,0.7041420118343196
Eastern Mediterranean,Pakistan,0.7777777777777778,0.674568426284262,0.6954777388820518,0.4252111755398999,0.01953951796196406,0.21301775147928995
Europe,Romania,0.7777777777777778,0.8215795623483347,0.5640818313300912,0.6402125699869465,0.016012220056152292,0.819526627218935
Africa,South Africa,0.7777777777777778,0.11911111445599756,0.5649445576377174,0.3075129226478787,0.023509846460005673,0.3905325443786982
Eastern Mediterranean,Sudan,0.7777777777777778,0.4920922635995238,0.5127614944519546,0.39917783826194675,0.0019174227900494148,0.10355029585798818
Americas,Barbados,0.7936507936507936,0.5132224568329932,0.3264400797615954,0.7846341341319039,0.000268433533958838,0.7307692307692308
Americas,Colombia,0.7936507936507936,0.4282322840313876,0.2886712922832693,0.6361094024414401,0.017870030545950093,0.48520710059171596
South-East Asia,Indonesia,0.7936507936507936,0.3664081301281309,0.8271028189873325,0.471325582848139,0.06657803155853086,0.48224852071005925
Western Pacific,Marshall Islands,0.7936507936507936,0.467025808992482,0.9679339104192647,0.3992404937066593,1.1186162372342715e-05,0.26627218934911245
Africa,Namibia,0.7936507936507936,0.17154208807931934,0.5433041126333179,0.21127415956981394,0.0006950498766963514,0.20710059171597636
South-East Asia,Timor-Leste,0.7936507936507936,0.3076113277250656,0.8501674288807968,0.4765573124816146,0.00019982817890184653,0.14201183431952666
Africa,Kenya,0.8095238095238095,0.4032713313966691,0.6028713075059631,0.27887938441436594,0.006152699082703676,0.15384615384615383
Africa,Malawi,0.8095238095238095,0.2651223882418264,0.5901690009861661,0.3251504303343861,0.0007038062974536092,0.0591715976331361
South-East Asia,Nepal,0.8095238095238095,0.6831968043669235,0.7022948639357958,0.4988939785215433,0.002068672011993448,0.31065088757396453
Americas,Panama,0.8095238095238095,0.4701130444575768,0.26546887543836206,0.742404364395826,0.0037791739388754893,0.45266272189349116
Europe,Azerbaijan,0.8253968253968254,0.7690686726924983,0.6292733524469565,0.5275901721997682,0.0030731685638322234,0.5266272189349113
Africa,Comoros,0.8253968253968254,0.2751163793540456,0.6193852579489387,0.34122155190308634,6.935255952201746e-05,0.18047337278106504
Americas,Dominican Republic,0.8253968253968254,0.5690745584447157,0.2960254062707246,0.6293739421348697,0.005285123776854718,0.3875739644970414
Africa,Senegal,0.8253968253968254,0.5256658689888767,0.4536326255491798,0.4563822592842602,0.0015436734819295277,0.13609467455621296
Western Pacific,New Zealand,0.8412698412698413,0.0,0.9821541160024587,0.9298793880559005,0.014337008875678865,0.6627218934911244
Europe,Slovenia,0.8412698412698413,0.8228448337924015,0.5362272112012691,0.8881600311885773,0.003461664854961274,0.8905325443786982
Western Pacific,Solomon Islands,0.8412698412698413,0.3079768540300732,0.9434158212166714,0.5583539955534985,8.530132628264786e-05,0.257396449704142
Africa,Ghana,0.8571428571428571,0.46514019143553237,0.49137079819679336,0.35306343095370757,0.004438510716613405,0.19526627218934905
Western Pacific,Kiribati,0.8571428571428571,0.39296833406706927,0.9844957104639568,0.46653244132764976,9.394474537933013e-06,0.3224852071005917
Europe,Lithuania,0.8571428571428571,0.9095248318434186,0.5614406745018945,0.6833836995600052,0.003723521942015243,0.878698224852071
Western Pacific,Tuvalu,0.8571428571428571,0.3085860792510779,1.0,0.37662187816552534,0.0,0.349112426035503
Africa,Uganda,0.8571428571428571,0.40412955302996256,0.5853334270374893,0.3189162135855139,0.0022698679406859047,0.0266272189349112
Africa,Zimbabwe,0.8571428571428571,0.2164130705763653,0.5783636508452094,0.21077291601211573,0.0015886837031607944,0.16863905325443787
Europe,Bulgaria,0.873015873015873,0.8291271939020713,0.5610695591010432,0.5949019862958912,0.004713755677009948,0.8550295857988167
Africa,Burkina Faso,0.873015873015873,0.5031296529996622,0.4896550213095139,0.21130548729217022,0.001104205050662005,0.09171597633136089
Africa,Burundi,0.873015873015873,0.35755173807594626,0.5788874402426468,0.2862727268904151,0.0001523869421918728,0.0857988165680473
Europe,Finland,0.873015873015873,0.9836839330511717,0.5675669612700457,0.9213215712706361,0.01662853481162543,0.8284023668639053
Europe,Germany,0.873015873015873,0.7693195876981082,0.27115275565139213,0.8889546854947049,0.23904403317614514,0.9763313609467457
Europe,Poland,0.873015873015873,0.8800926214214041,0.54841559961492,0.7229636023093315,0.03812373943176638,0.8017751479289941
Africa,Sierra Leone,0.873015873015873,0.4708687983696581,0.4610062778077572,0.2361170433982336,0.00023506929421214105,0.12721893491124264
Americas,Canada,0.8888888888888888,0.963210621845001,0.18966801525160643,0.9420750413634958,0.11231090958962432,0.7988165680473372
Europe,Croatia,0.8888888888888888,0.8157630353822455,0.53860384902905,0.7487134619197825,0.0038598081210187967,0.8609467455621301
Americas,Dominica,0.8888888888888888,0.5344582769398685,0.32124669887682705,0.6356081588837417,2.778103713181457e-05,0.5946745562130178
Europe,Iceland,0.8888888888888888,1.0,0.4433240961618115,0.9583799745685059,0.0014305170811212335,0.6597633136094675
Eastern Mediterranean,Iraq,0.8888888888888888,0.700532254788006,0.6190795840169031,0.5592938272241827,0.01165132880675922,0.18934911242603547
Europe,Serbia,0.8888888888888888,0.8031647285105179,0.5538963175687098,0.6329995530135513,0.003536490992009145,0.8461538461538461
Europe,Armenia,0.9047619047619048,0.43191413457769723,0.28067792370727246,0.6114544849471575,0.0007744597638592646,0.6449704142011835
South-East Asia,India,0.9047619047619048,0.5996303564669759,0.7164175296204047,0.46098743447061263,0.17677733200450665,0.41124260355029585
Europe,Ireland,0.9047619047619048,0.8861898884568722,0.4719007264660871,0.9265937976242472,0.028289021437642104,0.680473372781065
Europe,Netherlands,0.9047619047619048,0.8803514850192159,0.510318569125304,0.9064982100141438,0.05677412088487955,0.8284023668639053
Americas,Nicaragua,0.9047619047619048,0.5081417305962684,0.25372139623644774,0.6676564188540741,0.0007904213301917637,0.36982248520710065
Africa,Sao Tome and Principe,0.9047619047619048,0.39885134691242624,0.5142361208854319,0.471983465017618,2.617541592856197e-05,0.13313609467455623
Europe,Spain,0.9047619047619048,0.7590431454655895,0.480765927170214,0.9602902015490822,0.08009453298353451,0.8609467455621301
Western Pacific,Australia,0.9206349206349206,0.15705582856386183,0.8746947318945639,0.9641106555102349,0.08712690712137426,0.6715976331360947
Africa,Cabo Verde,0.9206349206349206,0.5399871820686611,0.4266673689757709,0.6743918791606445,0.00011400085685740556,0.3550295857988166
Europe,Czechia,0.9206349206349206,0.8568776582025943,0.537702466372225,0.7784365936874259,0.015809419225206293,0.8431952662721893
Americas,Jamaica,0.9206349206349206,0.5605066033737349,0.27601200743585524,0.563115809351632,0.0008191374709626368,0.4319526627218935
Europe,Sweden,0.9206349206349206,0.8041894071312989,0.29455832750897054,0.9596025198235439,0.035734011654603576,0.7781065088757397
Americas,Trinidad and Tobago,0.9206349206349206,0.4906525250643322,0.3220406755067237,0.6405266112936562,0.0013692142378110882,0.680473372781065
Americas,Uruguay,0.9206349206349206,0.08099345273032879,0.3363307806417278,0.7177494469015434,0.003442792240721336,0.6124260355029586
Americas,Costa Rica,0.9365079365079365,0.4792871501168982,0.2568764520527528,0.7674665422807386,0.003622597787290772,0.5266272189349113
Europe,Italy,0.9365079365079365,0.7901496905854593,0.530185246369168,0.948293976136125,0.1186446477713828,0.9378698224852071
Eastern Mediterranean,Kuwait,0.9365079365079365,0.6656357741387692,0.6297987111483068,0.8191572841683713,0.0076730319307446275,0.4408284023668639
Europe,Latvia,0.9365079365079365,0.9235236052509287,0.5642732801990987,0.650298568419327,0.0022258253820482674,0.8757396449704142
Africa,Mauritius,0.9365079365079365,0.19931712878082572,0.6568810960393121,0.6627456072756424,0.0006406260094019949,0.6360946745562129
Western Pacific,Mongolia,0.9365079365079365,0.8023565006485108,0.2708512043521317,0.5779964774707987,0.0008544259031186036,0.44378698224852076
Eastern Mediterranean,United Arab Emirates,0.9365079365079365,0.6151174708955967,0.6468041565146179,0.8203164098955482,0.02328572180068129,0.6982248520710059
Africa,Botswana,0.9523809523809523,0.17215599756047337,0.5638192507487685,0.26991965582050964,0.0010480588664474038,0.3224852071005917
Americas,Chile,0.9523809523809523,0.09145714234594728,0.2931583659086477,0.8276470969268854,0.017769135168517632,0.6124260355029586
Europe,Cyprus,0.9523809523809523,0.7176412294950033,0.5872333115537585,0.8984164217294076,0.0015907501951444823,0.6834319526627219
Europe,France,0.9523809523809523,0.8273845617896982,0.49974745689902783,0.9335470238210137,0.1659790575443686,0.7958579881656807
Europe,Switzerland,0.9523809523809523,0.8292177753601102,0.5176490919118052,0.9813791072768032,0.0449248061470385,0.8254437869822486
Eastern Mediterranean,Bahrain,0.9682539682539683,0.6341605858214627,0.637078720198077,0.8218827960133556,0.0022021458535602012,0.5355029585798816
Africa,Eswatini,0.9682539682539683,0.1402799040021924,0.5830263835065015,0.14225918721923575,0.0002630971000633844,0.2633136094674556
Americas,Guyana,0.9682539682539683,0.43519850292397944,0.3289328528516822,0.4118968935385401,0.0004480418284941642,0.37573964497041423
Western Pacific,Malaysia,0.9682539682539683,0.4326409954885992,0.7830104783569829,0.7004565441609535,0.02092657688264011,0.4260355029585799
Europe,Norway,0.9682539682539683,0.9961400081107946,0.5269505202719624,0.9598317469609643,0.027509579395074327,0.7307692307692308
Eastern Mediterranean,Oman,0.9682539682539683,0.7866700591178049,0.5703994504194139,0.6270556906805154,0.004945544665414032,0.33727810650887574
Africa,Seychelles,0.9682539682539683,0.3459908872996571,0.6509088180649971,0.6538897952430592,6.882498522510907e-05,0.650887573964497
Western Pacific,Singapore,0.9682539682539683,0.402474393935152,0.7873953209051099,0.9685423819422678,0.02377813389020845,0.6153846153846154
Europe,Tajikistan,0.9682539682539683,0.7524891705784152,0.6942590805628434,0.5973883376092499,0.0004981700271157199,0.31065088757396453
South-East Asia,Thailand,0.9682539682539683,0.5121775047943891,0.7814146303755738,0.8204730485073293,0.02836674118054753,0.7159763313609467
Eastern Mediterranean,Tunisia,0.9682539682539683,0.7353226296198361,0.5231626852951053,0.665620116900925,0.0026164956003321407,0.5295857988165682
Europe,Albania,0.9841269841269841,0.40129505913142177,0.2802526723720306,0.7499230177612997,0.001002801779816154,0.5769230769230769
South-East Asia,Bangladesh,0.9841269841269841,0.3870392007926445,0.5961550637757184,0.622043255103533,0.02335547316561374,0.3875739644970414
Europe,Belarus,0.9841269841269841,0.8914476089186556,0.5725794195590042,0.6217200447990441,0.00390638791928117,0.772189349112426
Europe,Belgium,0.9841269841269841,0.8652955798393396,0.5075879966844478,0.919946207819559,0.03334888533514347,0.7928994082840237
South-East Asia,Bhutan,0.9841269841269841,0.699826996599306,0.7078897662254969,0.6043117642499571,0.00013912984121101853,0.42307692307692313
Europe,Denmark,0.9841269841269841,0.9125323062284699,0.5235790760027665,0.9047408012296065,0.022347529467370224,0.8047337278106509
Europe,Israel,0.9841269841269841,0.679091015599176,0.592791411673448,0.9390484776253223,0.027410479708452676,0.4615384615384615
Europe,Malta,0.9841269841269841,0.726761669948585,0.535189731713791,0.9503570213127408,0.0009922976103308512,0.8136094674556212
Western Pacific,Nauru,0.9841269841269841,0.3847972507772914,0.9654988796692453,0.34748709637431435,4.788896196187089e-06,0.3609467455621302
Africa,Rwanda,0.9841269841269841,0.3712794554739529,0.5792598963669093,0.42439665475864036,0.0006169929432352364,0.1449704142011834
Eastern Mediterranean,Saudi Arabia,0.9841269841269841,0.6303686725351043,0.6139375253809054,0.7647410304357547,0.04873761889176926,0.4733727810650888
South-East Asia,Sri Lanka,0.9841269841269841,0.460683812841862,0.7221914220129837,0.747918043530507,0.004962635053157319,0.5591715976331362
Americas,Antigua and Barbuda,1.0,0.5514763621620972,0.31958145041492186,0.8136436050336904,8.419108443575661e-05,0.5295857988165682
Western Pacific,China,1.0,0.6719121831344526,0.22820489219472562,0.8046838764398341,1.0,0.6982248520710059
Western Pacific,Fiji,1.0,0.21952645732301113,0.9995879395716499,0.45704014145373917,0.00023770676301301867,0.44674556213017746
Europe,Greece,1.0,0.7955153443646996,0.2751702360340645,0.8664598526766991,0.01205434916311068,0.9023668639053254
Europe,Hungary,1.0,0.7839359725421667,0.28903766760179306,0.6873569717171968,0.010225045264934509,0.8520710059171599
Western Pacific,Japan,1.0,0.7332062352438526,0.887349676252231,1.0,0.28088419022142674,1.0
Europe,Kazakhstan,1.0,0.8414518176155852,0.6828651262222906,0.5546573243154741,0.011057628532434733,0.49704142011834324
Europe,Luxembourg,1.0,0.8556321417899027,0.511716794078211,0.946842203743667,0.004794833820530594,0.7307692307692308
South-East Asia,Maldives,1.0,0.4246677508180805,0.70105655982797,0.8581602985017668,0.0002999567268873016,0.4349112426035503
Eastern Mediterranean,Morocco,1.0,0.6558232351872397,0.46515089097316026,0.6740786019370829,0.008013652031420395,0.42307692307692313
Europe,Portugal,1.0,0.7621994455947093,0.47146080212589453,0.8943491664051472,0.014248963910611274,0.8816568047337279
Eastern Mediterranean,Qatar,1.0,0.7569900167747976,0.6284799740771381,0.8379225898596997,0.010079257617231767,0.5591715976331362
Western Pacific,Tonga,1.0,0.20269662526628396,0.0,0.5783410824167166,2.295295525235059e-05,0.27514792899408286
Europe,Uzbekistan,1.0,0.7778033021539787,0.6748922609022955,0.5744564448445548,0.003902284084369919,0.45266272189349116
